"GNIperCap";"LifeExp";"ExpEdu";"MatMortalityRate";"AdoBirthRate";"FemalesParliament";"LabourRatio";"SecondEduRatio"
"China";12547;75.8;13.1;32;8.6;23.6;0.816091954022989;0.816411682892907
"Fiji";7493;70;15.7;59;42.8;14;0.520833333333333;0.995348837209302
"Mongolia";10729;69.4;14.6;68;18.7;14.9;0.816738816738817;1.01426872770511
"Thailand";13323;74.4;13.5;26;41;6.1;0.796778190830235;0.875
"Libya";14911;71.6;14;15;2.5;16;0.392670157068063;1.32458233890215
"Tunisia";10404;74.8;14.6;46;4.6;31.3;0.354019746121298;0.711496746203904
"Colombia";12040;74;13.5;83;68.5;20.9;0.700125470514429;1.02338129496403
"Jamaica";7415;75.7;12.4;80;70.1;16.7;0.791255289139633;1.05413105413105
"Tonga";5069;72.8;14.7;120;18.1;0;0.7171581769437;0.990939977349943
"Belize";7614;70;13.6;45;71.4;13.3;0.597812879708384;1.00791556728232
"Dominican Republic";11883;73.5;13.1;100;99.6;19.1;0.652671755725191;1.04708097928437
"Suriname";15617;71.1;12.7;130;35.2;11.8;0.588662790697674;0.94692144373673
"Maldives";12328;76.8;13;31;4.2;5.9;0.725161290322581;0.834862385321101
"Samoa";5327;73.4;12.9;58;28.3;6.1;0.402397260273973;1.07166666666667
"Botswana";16646;64.5;12.5;170;44.2;9.5;0.881127450980392;0.944801026957638
"Moldova (Republic of)";5223;71.6;11.9;21;29.3;20.8;0.850678733031674;0.968944099378882
"Egypt";10512;71.1;13.5;45;43;2.2;0.316844919786096;0.724422442244224
"Gabon";16367;64.4;12.5;240;103;16.2;0.859327217125382;1.49307479224377
"Indonesia";9788;68.9;13;190;48.3;17.1;0.610451306413302;0.810975609756098
"Paraguay";7643;72.9;11.9;110;67;16.8;0.65683962264151;0.855813953488372
"Philippines";7915;68.2;11.3;120;46.8;27.1;0.641154328732748;1.03453689167975
"El Salvador";7349;73;12.3;69;76;27.4;0.605063291139241;0.844036697247706
"South Africa";12122;57.4;13.6;140;50.9;40.7;0.735537190082645;0.957839262187088
"Viet Nam";5092;75.8;11.9;49;29;24.3;0.888077858880779;0.834269662921348
"Bolivia (Plurinational State of)";5760;68.3;13.2;200;71.9;51.8;0.793572311495674;0.805414551607445
"Kyrgyzstan";3044;70.6;12.5;75;29.3;23.3;0.70440251572327;0.976239669421488
"Iraq";14003;69.4;10.1;67;68.7;26.5;0.213467048710602;0.553784860557769
"Guyana";6522;66.4;10.3;250;88.5;31.3;0.529192546583851;1.26150627615063
"Nicaragua";4457;74.9;11.5;100;100.8;39.1;0.590286425902864;1.02872062663185
"Morocco";6850;74;11.6;120;35.8;11;0.349604221635884;0.685430463576159
"Namibia";9418;64.8;11.3;130;54.9;37.7;0.858712715855573;0.968023255813953
"Guatemala";6929;71.8;10.7;140;97.2;13.3;0.558956916099773;0.943965517241379
"Tajikistan";2517;69.4;11.2;44;42.8;15.2;0.763942931258106;1.04276315789474
"India";5497;68;11.7;190;32.8;12.2;0.337922403003755;0.477031802120141
"Honduras";3938;73.1;11.1;120;84;25.8;0.516284680337756;1.08527131782946
"Bhutan";7176;69.5;12.6;120;40.9;8.3;0.863989637305699;0.985507246376812
"Syrian Arab Republic";2728;69.6;12.3;49;41.6;12.4;0.185694635488308;0.728395061728395
"Congo";6012;62.3;11.1;410;126.7;11.5;0.938356164383562;0.84468085106383
"Zambia";3734;60.1;13.5;280;125.4;12.7;0.853971962616822;0.586363636363636
"Ghana";3852;61.4;11.5;380;58.4;10.9;0.942577030812325;0.698608964451314
"Bangladesh";3191;71.6;10;170;80.6;20;0.682520808561237;0.825665859564165
